Timestamp,How many hours of sleep do you usually get?,How many hours do you usually spend on screens per day?,What is your favorite subject?,"In one word, what is your average mood at school? (ex. tired, happy, sad, stressed, busy, etc.)",What is your average GPA? 
9/30/2025 9:25:09,8,5,Math,tired,4
9/30/2025 9:27:27,8,4,History,Tired,4
9/30/2025 9:27:57,7,10,Math,Busy,4.1
9/30/2025 9:28:21,7,4,math,bored,3.6
9/30/2025 9:32:13,7,2,English,tired,3.9
9/30/2025 9:34:54,8,8,IT,bored,2.47
10/2/2025 8:55:31,5,4,Math,Mundane,3.42
